G,T,M,P,Y_star,r_star
270.56732,89.403046,2.9916403,0.81794995,224.45747,108.57124
278.75098,69.65338,1.9607058,1.0819371,236.13098,116.25328
145.71594,122.664246,1.0664303,1.9256567,116.589294,57.74084
289.82642,79.172226,1.8918958,0.722365,241.11507,117.93853
147.61206,97.41339,0.50293183,0.6796728,129.0314,63.775734
200.22383,64.845764,1.7610264,0.6394532,183.44592,88.969
114.14312,94.957016,2.7095666,1.9516536,107.10401,52.163654
248.41034,107.104294,1.8941778,1.1540861,198.16452,97.44098
285.19287,97.96536,2.0478253,1.0504553,228.79471,112.447876
83.29648,81.31761,0.57253873,1.6612192,89.42514,44.367924
283.64954,114.85418,1.514889,0.8068632,220.35144,108.298225
198.39491,87.04512,2.4876049,1.0517874,172.07004,83.669914
267.3511,72.28006,0.83349645,1.9374311,224.88818,112.01389
191.92882,63.128372,1.1652391,1.6494606,175.33191,86.95951
235.27351,89.40852,2.594757,0.6682011,199.56772,95.90065
157.35114,52.76608,2.1089733,1.0438678,156.95155,76.45543
271.36072,141.501,2.3343418,1.3236498,199.99088,98.23188
193.47612,76.11361,0.5843537,1.5209795,170.41164,84.82165
116.64501,79.27909,2.5455618,0.9049487,117.64528,56.009724
206.86229,104.62195,1.4773593,1.7751436,168.39542,83.36547
117.40792,112.96166,2.0127072,1.2617288,102.01523,49.412415
160.3409,95.285385,2.7603765,0.60153294,144.53387,67.678055
124.23021,134.30115,0.5980501,1.4509695,96.05276,47.61421
257.9214,70.852516,2.1076398,0.5219315,223.91869,107.9212
76.32873,117.91904,0.61997116,1.3022146,68.94962,33.998726
117.37371,99.88724,2.6754231,0.50822866,112.835556,51.15357
139.70316,59.326447,2.1170394,1.0360665,141.56711,68.74022
99.84094,80.635254,1.8890868,1.075696,103.5515,50.019596
186.7979,112.72436,1.2492356,0.5762992,152.49904,74.081825
51.540108,109.55209,2.221294,1.0378613,57.206688,26.463085
287.88864,136.35678,1.101182,1.2751856,212.71548,105.494194
68.81647,133.44965,1.9889469,0.8274387,59.681538,27.437029
271.50342,72.72886,2.7997293,1.3564351,229.9958,112.93388
195.8024,78.64853,0.8117473,1.6460481,171.14258,85.078125
134.41193,89.397934,1.3933446,1.3385155,123.46794,60.692993
252.24374,64.17897,2.04196,0.51383054,222.63168,107.34184
194.48134,86.5005,1.966973,1.2476301,168.38158,82.614204
275.99542,59.08436,1.7671899,0.8985168,238.91315,117.48977
188.66496,119.017105,2.8253999,1.4637809,150.79654,73.46804
135.57835,135.37796,1.4251704,0.64822674,106.249084,50.925972
208.58546,103.95882,2.0724401,0.731199,172.77054,83.55098
141.10257,64.20597,2.4124541,1.2251021,140.36952,68.21558
227.6072,62.134598,1.5076354,1.6824821,201.51329,99.86055
286.60278,80.53504,2.5667908,1.0496347,237.98042,116.5448
247.25745,114.54267,2.5663748,1.2104509,194.83727,95.29846
120.35343,101.219604,2.3066244,1.175724,109.67531,52.875774
247.15808,109.091095,1.4450401,0.6631645,197.18677,96.41436
197.36578,147.12405,2.835762,1.1906619,145.6105,70.42357
238.47939,123.2221,1.0277221,1.2288915,183.01334,90.67039
